CIF_id,Compound,lowest_wyckoff_elements,Mendeleev_number_of_elements_with_lowest_wyckoff,valence_e_of_elements_with_lowest_wyckoff,CIF_rad_of_elements_with_lowest_wyckoff,CIF_rad_refined_of_elements_with_lowest_wyckoff,Pauling_rad_of_elements_with_lowest_wyckoff,Pauling_EN_of_elements_with_lowest_wyckoff,MB_EN_of_elements_with_lowest_wyckoff,highest_Mendeleev_number_sites,lowest_Mendeleev_number_sites,highest_Mendeleev_number_multiplicity,lowest_Mendeleev_number_multiplicity,highest_valence_e_sites,lowest_valence_e_sites,highest_valence_e_multiplicity,lowest_valence_e_multiplicity,highest_CIF_rad_sites,lowest_CIF_rad_sites,highest_CIF_rad_multiplicity,lowest_CIF_rad_multiplicity,highest_CIF_rad_refined_sites,lowest_CIF_rad_refined_sites,highest_CIF_rad_refined_multiplicity,lowest_CIF_rad_refined_multiplicity,highest_Pauling_rad_sites,lowest_Pauling_rad_sites,highest_Pauling_rad_multiplicity,lowest_Pauling_rad_multiplicity,highest_Pauling_EN_sites,lowest_Pauling_EN_sites,highest_Pauling_EN_multiplicity,lowest_Pauling_EN_multiplicity,highest_MB_EN_sites,lowest_MB_EN_sites,highest_MB_EN_multiplicity,lowest_MB_EN_multiplicity
250654,YbIn3,Yb,39,16,1.939,1.6309,1.933,1.1,1.1,1,1,3,1,1,1,1,3,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250668,La3Co,"La, Co","13, 58","3, 9","1.871, 1.25","1.8146, 1.0204","1.871, 1.252","1.1, 1.88","1.35, 1.72",1,2,4,12,1,2,4,12,2,1,12,4,2,1,12,4,2,1,12,4,1,2,4,12,1,2,4,12
250693,CePd3,Ce,15,4,1.819,1.4538,1.818,1.12,1.1,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250717,TbAl3,Tb,29,11,1.764,1.6076,1.773,1.2,1.2,2,2,27,9,2,2,27,9,2,2,9,27,2,2,9,27,2,2,9,27,2,2,27,9,2,2,27,9
250718,GdAl3,Gd,27,10,1.787,1.4689,1.795,1.2,1.1,1,1,6,2,1,1,6,2,1,1,2,6,1,1,2,6,1,1,2,6,1,1,6,2,1,1,6,2
250763,Sm3Co,"Sm, Co","23, 58","8, 9","1.793, 1.25","1.7431, 1.0122","1.85, 1.252","1.17, 1.88","1.2, 1.72",1,2,4,12,1,2,4,12,2,1,12,4,2,1,12,4,2,1,12,4,1,2,4,12,1,2,4,12
250765,SmCo3,"Sm, Co","23, 58","8, 9","1.793, 1.25","1.6551, 1.2509","1.85, 1.252","1.17, 1.88","1.2, 1.72",3,2,27,9,3,2,27,9,2,3,9,27,2,3,9,27,2,3,9,27,3,2,27,9,3,2,27,9
250804,La0.75Pt2.25,"La, Pt","13, 63","3, 10","1.871, 1.387","1.8368, 1.3654","1.871, 1.385","1.1, 2.28","1.35, 1.91",2,1,24,8,2,1,24,8,1,2,8,24,1,2,8,24,1,2,8,24,2,1,24,8,2,1,24,8
250805,Pr0.75Pt2.25,"Pr, Pt","17, 63","5, 10","1.82, 1.387","1.8178, 1.3513","1.824, 1.385","1.13, 2.28","1.1, 1.91",2,1,24,8,2,1,24,8,1,2,8,24,1,2,8,24,1,2,8,24,2,1,24,8,2,1,24,8
250806,Nd0.75Pt2.25,"Nd, Pt","19, 63","6, 10","1.813, 1.387","1.8123, 1.3472","1.818, 1.385","1.14, 2.28","1.2, 1.91",2,1,24,8,2,1,24,8,1,2,8,24,1,2,8,24,1,2,8,24,2,1,24,8,2,1,24,8
250807,Eu0.75Pt2.25,"Eu, Pt","25, 63","9, 10","1.987, 1.387","1.8363, 1.3651","2.084, 1.385","1.2, 2.28","1.15, 1.91",2,1,24,8,2,1,24,8,1,2,8,24,1,2,8,24,1,2,8,24,2,1,24,8,2,1,24,8
250808,Gd0.75Pt2.25,"Gd, Pt","27, 63","10, 10","1.787, 1.387","1.8018, 1.3394","1.795, 1.385","1.2, 2.28","1.1, 1.91",2,1,24,8,2,2,24,24,1,2,8,24,1,2,8,24,1,2,8,24,2,1,24,8,2,1,24,8
250809,DyPt3,Dy,31,12,1.752,1.4398,1.77,1.22,1.15,1,1,3,1,1,1,1,3,1,1,1,3,1,1,3,1,1,1,1,3,1,1,3,1,1,1,3,1
250810,TbPt3,Tb,29,11,1.764,1.4433,1.773,1.2,1.2,1,1,3,1,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,3,1,1,1,3,1
250811,Ce0.75Pt2.25,"Ce, Pt","15, 63","4, 10","1.819, 1.387","1.8227, 1.355","1.818, 1.385","1.12, 2.28","1.1, 1.91",2,1,24,8,2,1,24,8,1,2,8,24,1,2,8,24,1,2,8,24,2,1,24,8,2,1,24,8
250891,LaPd3,La,13,3,1.871,1.497,1.871,1.1,1.35,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250892,CePd3,Ce,15,4,1.819,1.4594,1.818,1.12,1.1,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250893,PrPd3,Pr,17,5,1.82,1.4642,1.824,1.13,1.1,1,1,3,1,1,1,3,1,1,1,1,3,1,1,1,3,1,1,1,3,1,1,3,1,1,1,3,1
250894,YPd3,Y,12,3,1.783,1.439,1.797,1.22,1.41,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250907,Ce0.25Tb0.75,"Ce, Tb","15, 29","4, 11","1.819, 1.764","1.7802, 1.7802","1.818, 1.773","1.12, 1.2","1.1, 1.2",1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2
250910,Pr0.25Tb0.75,"Pr, Tb","17, 29","5, 11","1.82, 1.764","1.7793, 1.7793","1.824, 1.773","1.13, 1.2","1.1, 1.2",1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2
250920,HoFe3,"Ho, Fe","33, 55","13, 8","1.745, 1.242","1.6677, 1.2491","1.761, 1.26","1.23, 1.83","1.2, 1.67",3,2,27,9,2,3,9,27,2,3,9,27,2,3,9,27,2,3,9,27,3,2,27,9,3,2,27,9
250931,YbPd3,Yb,39,16,1.939,1.4294,1.933,1.1,1.1,1,1,3,1,1,1,1,3,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250934,Pd3Sn,Sn,80,14,1.511,1.4064,1.62,1.96,1.88,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,3,1,1,1,3,1
250959,Pd0.75In0.25,"Pd, In","62, 75","10, 13","1.376, 1.624","1.3912, 1.3912","1.373, 1.66","2.2, 1.78","2.08, 1.63",1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2
250962,Pt3Sn,Sn,80,14,1.511,1.4144,1.62,1.96,1.88,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,3,1,1,1,3,1
250963,Pt3In,In,75,13,1.624,1.4114,1.66,1.78,1.63,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,3,1,1,3,1,1,1,3,1
250966,Pd3.25In9.75,"Pd, In","62, 75","10, 13","1.376, 1.624","1.3447, 1.3447","1.373, 1.66","2.2, 1.78","2.08, 1.63",3,2,44,16,3,2,44,16,3,2,44,16,3,3,44,44,3,2,44,16,2,3,16,44,2,3,16,44
250977,ErNi3,"Er, Ni","35, 61","14, 10","1.734, 1.246","1.6185, 1.2304","1.748, 1.244","1.24, 1.91","1.2, 1.76",3,2,27,9,2,3,9,27,2,3,9,27,2,3,9,27,2,3,9,27,3,2,27,9,3,2,27,9
